Summary,Description
"UX: Checkbox för att välja ut ""ms"" ""Hsorterat"" och/eller lådorna.","Val: Mediaserver, hyllor i vardagsrum, lådor i kk

Mediaserver + hyllor i vardagsrum = default

Checkboxar för att slå av/på"
"Uppdatera p g a ""Cloud Default Service Account Change""",
Dev: Integrera ChatGPT:s testkod,Öppnar upp för att utveckla i cloud shell.
#-/- ska ge XX,
Inget språk angivet ska ge ??,
Dev: Skriv tester som verifierar logik bakom flaggor,"Gör jag inte det här nu kommer det bli en ny “timepolice” där jag får gissa hela tiden…

Testerna blir också min “dokumentation”.

Hmmm, men jag skulle egentligen vilja testa syntaxen på filnamn och i allmoges.txt…"
Kategori: Implementera syntax för kategori i filnamn,
Dev: Multistage build med Docker,För att inte behöva kopiera allt (COPY . .).
Kategori: Allt i en mapp ska ha mapp som kategori?,
Kategori: Städa category,
Security: API key som URI-parameter för att begränsa åtkomst,
